@id,type,lon,lat
3156233056,Free_standing,36.33976,32.28099
3156233057,Free_standing,36.33918,32.28117
3156233058,Free_standing,36.33840,32.28128
3156233059,Free_standing,36.33858,32.28134
3156233060,Free_standing,36.33829,32.28137
3156236561,Free_standing,36.33998,32.28152
3156236562,Free_standing,36.33929,32.28155
3156236563,Attached_to_WASH_centre,36.33884,32.28169
3156236564,Attached_to_WASH_centre,36.33937,32.28170
3156236565,Free_standing,36.33831,32.28182
3156236566,Free_standing,36.33895,32.28185
3156236567,Free_standing,36.34042,32.28223
3156236568,Free_standing,36.33952,32.28224
3156236569,Free_standing,36.33702,32.28235
3156236570,Free_standing,36.33904,32.28235
3156236571,Free_standing,36.33776,32.28239
3156236572,Free_standing,36.33947,32.28248
3156236573,Free_standing,36.34084,32.28255
3156236574,Attached_to_WASH_centre,36.33671,32.28256
3156236575,Free_standing,36.33629,32.28262
3156236576,Free_standing,36.33817,32.28264
3156236577,Attached_to_WASH_centre,36.34017,32.28272
3156236578,Free_standing,36.34009,32.28280
3156236579,Free_standing,36.33774,32.28286
3156236580,Free_standing,36.33561,32.28286
3156236581,Attached_to_WASH_centre,36.33529,32.28296
3156236582,Free_standing,36.33531,32.28297
3156236583,Free_standing,36.33532,32.28297
3156236584,Attached_to_WASH_centre,36.33972,32.28299
3156236585,Free_standing,36.33800,32.28300
3156236586,Free_standing,36.33464,32.28301
3156236587,Free_standing,36.33735,32.28311
3156236588,Attached_to_WASH_centre,36.33865,32.28312
3156236589,Free_standing,36.33504,32.28314
3156236590,Oxfam_water_storage,36.33788,32.28316
3156236591,Attached_to_WASH_centre,36.33453,32.28320
3156236592,Free_standing,36.33481,32.28329
3156236593,Free_standing,36.33778,32.28330
3156236594,Free_standing,36.33374,32.28333
3156236595,Attached_to_WASH_centre,36.33620,32.28334
3156236596,Free_standing,36.33466,32.28341
3156236597,Free_standing,36.34064,32.28347
3156236598,Attached_to_WASH_centre,36.33753,32.28352
3156236599,Free_standing,36.33825,32.28356
3156236600,Attached_to_WASH_centre,36.33910,32.28358
3156236601,Free_standing,36.33791,32.28361
3156236602,Free_standing,36.34020,32.28376
3156236603,Attached_to_WASH_centre,36.34007,32.28391
3156236604,Free_standing,36.33568,32.28392
3156236605,Free_standing,36.33463,32.28395
3156236606,Free_standing,36.33572,32.28409
3156236607,Attached_to_WASH_centre,36.33944,32.28410
3156236608,Attached_to_WASH_centre,36.33205,32.28410
3156236609,Free_standing,36.33549,32.28415
3156236610,Free_standing,36.33919,32.28420
3156236611,Oxfam_water_storage,36.33899,32.28423
3156236612,Free_standing,36.33282,32.28423
3156236613,Attached_to_WASH_centre,36.33149,32.28425
3156236614,Attached_to_WASH_centre,36.33202,32.28425
3156236615,Free_standing,36.33607,32.28430
3156236616,Attached_to_WASH_centre,36.33119,32.28432
3156236617,Free_standing,36.34065,32.28432
3156236618,Free_standing,36.33496,32.28435
3156236619,Free_standing,36.33480,32.28438
3156236620,Attached_to_WASH_centre,36.33828,32.28451
3156236621,Free_standing,36.33518,32.28464
3156236622,Attached_to_WASH_centre,36.33818,32.28465
3156236623,Free_standing,36.33734,32.28470
3156236624,Free_standing,36.34085,32.28475
3156236625,Attached_to_WASH_centre,36.32965,32.28476
3156236626,Free_standing,36.33963,32.28484
3156236627,Free_standing,36.32876,32.28489
3156236628,Free_standing,36.33862,32.28490
3156236629,Free_standing,36.33538,32.28492
3156236630,Free_standing,36.32928,32.28496
3156236631,Attached_to_WASH_centre,36.32938,32.28502
3156236632,Attached_to_WASH_centre,36.33610,32.28503
3156236633,Attached_to_WASH_centre,36.32888,32.28504
3156236634,Attached_to_WASH_centre,36.32859,32.28515
3156236635,Free_standing,36.32808,32.28517
3156236636,Free_standing,36.33909,32.28518
3156236637,Free_standing,36.33838,32.28520
3156236638,Free_standing,36.33979,32.28522
3156236639,Free_standing,36.33571,32.28527
3156236640,Attached_to_WASH_centre,36.33990,32.28532
3156236641,Free_standing,36.32972,32.28542
3156236642,Attached_to_WASH_centre,36.33983,32.28548
3156236643,Free_standing,36.32694,32.28549
3156236644,Attached_to_WASH_centre,36.33000,32.28560
3156236645,Free_standing,36.33518,32.28562
3156236646,Attached_to_WASH_centre,36.33291,32.28564
3156236647,Free_standing,36.32791,32.28564
3156236648,Free_standing,36.32919,32.28566
3156236649,Attached_to_WASH_centre,36.32656,32.28570
3156236650,Attached_to_WASH_centre,36.33994,32.28570
3156236651,Attached_to_WASH_centre,36.33266,32.28575
3156236652,Free_standing,36.32686,32.28576
3156236653,Free_standing,36.33614,32.28578
3156236654,Attached_to_WASH_centre,36.33809,32.28579
3156236655,Attached_to_WASH_centre,36.32637,32.28584
3156236656,Free_standing,36.32861,32.28584
3156236657,Free_standing,36.33557,32.28587
3156236658,Attached_to_WASH_centre,36.33222,32.28592
3156236659,Attached_to_WASH_centre,36.33307,32.28593
3156236660,Attached_to_WASH_centre,36.33278,32.28594
3156236761,Attached_to_WASH_centre,36.32589,32.28597
3156236762,Attached_to_WASH_centre,36.33191,32.28602
3156236763,Free_standing,36.33504,32.28604
3156236764,Attached_to_WASH_centre,36.32564,32.28604
3156236765,Attached_to_WASH_centre,36.33227,32.28606
3156236766,Free_standing,36.34058,32.28607
3156236767,Attached_to_WASH_centre,36.33196,32.28609
3156236768,Free_standing,36.33585,32.28617
3156236769,Free_standing,36.33626,32.28617
3156236770,Attached_to_WASH_centre,36.33016,32.28628
3156236771,Attached_to_WASH_centre,36.33649,32.28629
3156236772,Free_standing,36.34132,32.28629
3156236773,Attached_to_WASH_centre,36.32380,32.28630
3156236774,Free_standing,36.33578,32.28631
3156236775,Attached_to_WASH_centre,36.34128,32.28644
3156236776,Free_standing,36.33668,32.28646
3156236777,Attached_to_WASH_centre,36.32968,32.28648
3156236778,Free_standing,36.32712,32.28651
3156236779,Free_standing,36.34155,32.28652
3156236780,Attached_to_WASH_centre,36.33595,32.28655
3156236781,Attached_to_WASH_centre,36.32335,32.28659
3156236782,Free_standing,36.33685,32.28663
3156236783,Attached_to_WASH_centre,36.33942,32.28664
3156236784,Attached_to_WASH_centre,36.32414,32.28664
3156236785,Attached_to_WASH_centre,36.32943,32.28666
3156236786,Oxfam_water_storage,36.33908,32.28666
3156236787,Attached_to_WASH_centre,36.33052,32.28666
3156236788,Free_standing,36.33170,32.28668
3156236789,Attached_to_WASH_centre,36.33025,32.28677
3156236790,Free_standing,36.33614,32.28677
3156236791,Free_standing,36.33865,32.28681
3156236792,Attached_to_WASH_centre,36.33858,32.28688
3156236793,Free_standing,36.32724,32.28688
3156236794,Free_standing,36.32869,32.28689
3156236795,Attached_to_WASH_centre,36.32325,32.28689
3156236796,Free_standing,36.33045,32.28690
3156236797,Attached_to_WASH_centre,36.32975,32.28691
3156236798,Attached_to_WASH_centre,36.32941,32.28691
3156236799,Free_standing,36.32110,32.28692
3156236800,Free_standing,36.34122,32.28697
3156236801,Free_standing,36.32765,32.28698
3156236802,Free_standing,36.32072,32.28705
3156236803,Free_standing,36.33569,32.28709
3156236804,Free_standing,36.32708,32.28711
3156236805,Free_standing,36.32631,32.28714
3156236806,Free_standing,36.32063,32.28715
3156236807,Attached_to_WASH_centre,36.33647,32.28717
3156236808,Free_standing,36.33391,32.28718
3156236809,Free_standing,36.34076,32.28721
3156236810,Free_standing,36.33339,32.28721
3156236811,Attached_to_WASH_centre,36.34102,32.28724
3156236812,Attached_to_WASH_centre,36.32735,32.28730
3156236813,Free_standing,36.32664,32.28732
3156236814,Free_standing,36.31986,32.28733
3156236815,Free_standing,36.32678,32.28735
3156236816,Attached_to_WASH_centre,36.33032,32.28735
3156236817,Free_standing,36.32620,32.28739
